NflId,event,team,x,y,s,gameId,playId,combid,Name,frameid,Possession
89802,kick_received,home,60.7,27.05,6.42,2017101600,777,2017101600_777,Poss_1,44,1
238466,kick_received,home,54.02,41.08,8.39,2017101600,777,2017101600_777,Poss_2,44,1
2507029,kick_received,home,52.85,12.6,9.07,2017101600,777,2017101600_777,Poss_3,44,1
2535535,kick_received,home,53.48,8.29,8.79,2017101600,777,2017101600_777,Poss_4,44,1
2541315,kick_received,home,53.32,34.92,9.24,2017101600,777,2017101600_777,Poss_5,44,1
2541539,kick_received,home,49.85,16.68,9.46,2017101600,777,2017101600_777,Poss_6,44,1
2541756,kick_received,home,51.52,30.84,9.5,2017101600,777,2017101600_777,Poss_7,44,1
2550289,kick_received,home,50.23,20.54,9.48,2017101600,777,2017101600_777,Poss_8,44,1
2552449,kick_received,home,53.03,39.37,9.31,2017101600,777,2017101600_777,Poss_9,44,1
2553822,kick_received,home,51,28.97,9.25,2017101600,777,2017101600_777,Poss_10,44,1
2555551,kick_received,home,58.12,6.74,7.11,2017101600,777,2017101600_777,Poss_11,44,1
2530660,kick_received,away,44.28,26.73,7.65,2017101600,777,2017101600_777,Def_12,44,0
2533460,kick_received,away,22.55,29.73,5.21,2017101600,777,2017101600_777,Def_13,44,0
2539310,kick_received,away,23.65,18.71,3.84,2017101600,777,2017101600_777,Def_14,44,0
2539645,kick_received,away,42.3,11.78,6.8,2017101600,777,2017101600_777,Def_15,44,0
2540140,kick_received,away,41.25,16.74,6.56,2017101600,777,2017101600_777,Def_16,44,0
2543594,kick_received,away,36.48,12.87,3.11,2017101600,777,2017101600_777,Def_17,44,0
2553467,kick_received,away,10.79,17.29,5.01,2017101600,777,2017101600_777,Def_18,44,0
2556394,kick_received,away,48.7,35.25,8.52,2017101600,777,2017101600_777,Def_19,44,0
2557434,kick_received,away,21.93,16.23,0.86,2017101600,777,2017101600_777,Def_20,44,0
2558886,kick_received,away,43.2,33.84,8.05,2017101600,777,2017101600_777,Def_21,44,0
2558976,kick_received,away,41.99,20.08,6.71,2017101600,777,2017101600_777,Def_22,44,0
2533460,kick_received,away,78,7.33,9.25,2017101600,45,2017101600_45,Poss_1,57,1
2539310,kick_received,away,78.73,40.42,9.03,2017101600,45,2017101600_45,Poss_2,57,1
2540140,kick_received,away,78.51,36.79,9.05,2017101600,45,2017101600_45,Poss_3,57,1
2543594,kick_received,away,74.54,17.99,8.61,2017101600,45,2017101600_45,Poss_4,57,1
2553467,kick_received,away,70.5,15.35,7.43,2017101600,45,2017101600_45,Poss_5,57,1
2555537,kick_received,away,72.36,39.9,8.36,2017101600,45,2017101600_45,Poss_6,57,1
2556394,kick_received,away,80.75,20.74,9.47,2017101600,45,2017101600_45,Poss_7,57,1
2557434,kick_received,away,75.98,15.07,8.04,2017101600,45,2017101600_45,Poss_8,57,1
2558886,kick_received,away,77.44,31.99,9.41,2017101600,45,2017101600_45,Poss_9,57,1
2558899,kick_received,away,64.12,24.43,5.36,2017101600,45,2017101600_45,Poss_10,57,1
2558976,kick_received,away,81.09,28.61,10.12,2017101600,45,2017101600_45,Poss_11,57,1
2495339,kick_received,home,87.21,19.22,5.92,2017101600,45,2017101600_45,Def_12,57,0
2507029,kick_received,home,80.83,10.76,5.62,2017101600,45,2017101600_45,Def_13,57,0
2535535,kick_received,home,88.52,35.78,7.38,2017101600,45,2017101600_45,Def_14,57,0
2541315,kick_received,home,82.4,35.72,4.23,2017101600,45,2017101600_45,Def_15,57,0
2541539,kick_received,home,80.35,15.63,3.71,2017101600,45,2017101600_45,Def_16,57,0
2541756,kick_received,home,80.48,36.53,5.28,2017101600,45,2017101600_45,Def_17,57,0
2550289,kick_received,home,88.15,24.68,5.92,2017101600,45,2017101600_45,Def_18,57,0
2553822,kick_received,home,84.79,20.16,4.06,2017101600,45,2017101600_45,Def_19,57,0
2555551,kick_received,home,85.56,21.4,5.53,2017101600,45,2017101600_45,Def_20,57,0
2558065,kick_received,home,110,21.73,1.25,2017101600,45,2017101600_45,Def_21,57,0
2558207,kick_received,home,91.01,13.77,3.86,2017101600,45,2017101600_45,Def_22,57,0
2533460,kick_received,away,40.08,43.25,8.04,2017101600,3188,2017101600_3188,Poss_1,61,1
2539310,kick_received,away,38.29,11.27,7.41,2017101600,3188,2017101600_3188,Poss_2,61,1
2540140,kick_received,away,36.19,6.29,9.43,2017101600,3188,2017101600_3188,Poss_3,61,1
2543594,kick_received,away,39.72,24.74,8.48,2017101600,3188,2017101600_3188,Poss_4,61,1
2553467,kick_received,away,39.04,42.44,9.15,2017101600,3188,2017101600_3188,Poss_5,61,1
2555537,kick_received,away,39.45,8.78,7.75,2017101600,3188,2017101600_3188,Poss_6,61,1
2556394,kick_received,away,33.67,21.71,8.68,2017101600,3188,2017101600_3188,Poss_7,61,1
2557434,kick_received,away,40.86,29.05,8.69,2017101600,3188,2017101600_3188,Poss_8,61,1
2558886,kick_received,away,38.86,15.52,8.41,2017101600,3188,2017101600_3188,Poss_9,61,1
2558899,kick_received,away,56.64,24.75,4.47,2017101600,3188,2017101600_3188,Poss_10,61,1
2558976,kick_received,away,35.27,17.24,8.94,2017101600,3188,2017101600_3188,Poss_11,61,1
2495339,kick_received,home,31.79,22.53,6.32,2017101600,3188,2017101600_3188,Def_12,61,0
2507029,kick_received,home,40.06,41.92,4.35,2017101600,3188,2017101600_3188,Def_13,61,0
2535535,kick_received,home,31.39,7.46,5.83,2017101600,3188,2017101600_3188,Def_14,61,0
2541539,kick_received,home,36.4,24.12,4.4,2017101600,3188,2017101600_3188,Def_15,61,0
2541756,kick_received,home,35.99,9.19,4.21,2017101600,3188,2017101600_3188,Def_16,61,0
2550289,kick_received,home,31.09,18.66,5.24,2017101600,3188,2017101600_3188,Def_17,61,0
2553822,kick_received,home,33.95,18.05,5.33,2017101600,3188,2017101600_3188,Def_18,61,0
2555551,kick_received,home,35.3,15.81,4.33,2017101600,3188,2017101600_3188,Def_19,61,0
2558005,kick_received,home,34.31,13.18,5.57,2017101600,3188,2017101600_3188,Def_20,61,0
2558065,kick_received,home,5.88,13.24,3.06,2017101600,3188,2017101600_3188,Def_21,61,0
2558207,kick_received,home,31.16,29.39,6.44,2017101600,3188,2017101600_3188,Def_22,61,0
89802,kick_received,home,64.55,27.26,6.08,2017101600,3024,2017101600_3024,Poss_1,56,1
238466,kick_received,home,75.05,15.32,8.23,2017101600,3024,2017101600_3024,Poss_2,56,1
2507029,kick_received,home,79.36,40.66,7.87,2017101600,3024,2017101600_3024,Poss_3,56,1
2535535,kick_received,home,76.22,43.98,8.26,2017101600,3024,2017101600_3024,Poss_4,56,1
2541315,kick_received,home,75.88,20.77,8.86,2017101600,3024,2017101600_3024,Poss_5,56,1
2541539,kick_received,home,80.51,37.39,8.57,2017101600,3024,2017101600_3024,Poss_6,56,1
2541756,kick_received,home,79.13,31.46,6.94,2017101600,3024,2017101600_3024,Poss_7,56,1
2550289,kick_received,home,79.28,24.32,8.62,2017101600,3024,2017101600_3024,Poss_8,56,1
2552449,kick_received,home,77.93,15.63,9.43,2017101600,3024,2017101600_3024,Poss_9,56,1
2553822,kick_received,home,80.07,27.46,9.2,2017101600,3024,2017101600_3024,Poss_10,56,1
2555551,kick_received,home,71.8,45.41,6.81,2017101600,3024,2017101600_3024,Poss_11,56,1
2530660,kick_received,away,81.19,30.27,3.96,2017101600,3024,2017101600_3024,Def_12,56,0
2533460,kick_received,away,95.18,24.96,5.41,2017101600,3024,2017101600_3024,Def_13,56,0
2539310,kick_received,away,98.67,31.71,1.75,2017101600,3024,2017101600_3024,Def_14,56,0
2539645,kick_received,away,83.33,42.44,4.2,2017101600,3024,2017101600_3024,Def_15,56,0
2540140,kick_received,away,84.03,39.78,3.63,2017101600,3024,2017101600_3024,Def_16,56,0
2543594,kick_received,away,88.17,39.58,2.99,2017101600,3024,2017101600_3024,Def_17,56,0
2553467,kick_received,away,109.86,31.7,2.85,2017101600,3024,2017101600_3024,Def_18,56,0
2556394,kick_received,away,76.13,22.98,7.53,2017101600,3024,2017101600_3024,Def_19,56,0
2557434,kick_received,away,98.83,33.01,0.54,2017101600,3024,2017101600_3024,Def_20,56,0
2558886,kick_received,away,84.82,24.08,5.71,2017101600,3024,2017101600_3024,Def_21,56,0
2558976,kick_received,away,81.76,32.69,3.13,2017101600,3024,2017101600_3024,Def_22,56,0
89802,kick_received,home,52.12,23.4,6.37,2017101600,276,2017101600_276,Poss_1,46,1
238466,kick_received,home,43.63,36.15,8.44,2017101600,276,2017101600_276,Poss_2,46,1
2507029,kick_received,home,41.23,17.31,8.56,2017101600,276,2017101600_276,Poss_3,46,1
2535535,kick_received,home,40.54,9.8,8.53,2017101600,276,2017101600_276,Poss_4,46,1
2541315,kick_received,home,37.53,13.5,8.09,2017101600,276,2017101600_276,Poss_5,46,1
2541539,kick_received,home,37.54,17.16,7.52,2017101600,276,2017101600_276,Poss_6,46,1
2541756,kick_received,home,39.59,28.65,9.07,2017101600,276,2017101600_276,Poss_7,46,1
2550289,kick_received,home,39.59,34.08,8.39,2017101600,276,2017101600_276,Poss_8,46,1
2552449,kick_received,home,40.39,37.49,9.24,2017101600,276,2017101600_276,Poss_9,46,1
2553822,kick_received,home,38.83,24.5,8.69,2017101600,276,2017101600_276,Poss_10,46,1
2555551,kick_received,home,47.59,5.34,6.83,2017101600,276,2017101600_276,Poss_11,46,1
2530660,kick_received,away,37.74,19.42,5.91,2017101600,276,2017101600_276,Def_12,46,0
2533460,kick_received,away,33.75,24.09,5,2017101600,276,2017101600_276,Def_13,46,0
2539310,kick_received,away,22.08,19.39,1.38,2017101600,276,2017101600_276,Def_14,46,0
2539645,kick_received,away,33.5,12.7,4.69,2017101600,276,2017101600_276,Def_15,46,0
2540140,kick_received,away,35.31,14.29,5.29,2017101600,276,2017101600_276,Def_16,46,0
2543594,kick_received,away,33.06,18.33,2.01,2017101600,276,2017101600_276,Def_17,46,0
2553467,kick_received,away,9.09,14.64,3.68,2017101600,276,2017101600_276,Def_18,46,0
2556394,kick_received,away,35.44,33.38,6.14,2017101600,276,2017101600_276,Def_19,46,0
2557434,kick_received,away,22.17,18.44,1.18,2017101600,276,2017101600_276,Def_20,46,0
2558886,kick_received,away,35.11,31.69,5.55,2017101600,276,2017101600_276,Def_21,46,0
2558976,kick_received,away,39.79,19.45,6.49,2017101600,276,2017101600_276,Def_22,46,0
89802,kick_received,home,55.72,35.8,6.34,2017101600,2487,2017101600_2487,Poss_1,44,1
238466,kick_received,home,40.06,17.79,8.51,2017101600,2487,2017101600_2487,Poss_2,44,1
2507029,kick_received,home,38.95,42.75,8.78,2017101600,2487,2017101600_2487,Poss_3,44,1
2535535,kick_received,home,42.37,44.61,8.62,2017101600,2487,2017101600_2487,Poss_4,44,1
2541315,kick_received,home,42.39,26.26,7.74,2017101600,2487,2017101600_2487,Poss_5,44,1
2541539,kick_received,home,40.72,37.12,8.67,2017101600,2487,2017101600_2487,Poss_6,44,1
2541756,kick_received,home,38.94,34.98,8.34,2017101600,2487,2017101600_2487,Poss_7,44,1
2550289,kick_received,home,40.5,29.51,7.39,2017101600,2487,2017101600_2487,Poss_8,44,1
2552449,kick_received,home,39.18,20.96,9.36,2017101600,2487,2017101600_2487,Poss_9,44,1
2553822,kick_received,home,40.4,30.6,5.44,2017101600,2487,2017101600_2487,Poss_10,44,1
2555551,kick_received,home,48.86,45.39,6.63,2017101600,2487,2017101600_2487,Poss_11,44,1
2530660,kick_received,away,40.21,31.32,3.62,2017101600,2487,2017101600_2487,Def_12,44,0
2533460,kick_received,away,28.15,34.26,3.26,2017101600,2487,2017101600_2487,Def_13,44,0
2539310,kick_received,away,20.6,35.52,1,2017101600,2487,2017101600_2487,Def_14,44,0
2539645,kick_received,away,34.18,42.91,4.56,2017101600,2487,2017101600_2487,Def_15,44,0
2540140,kick_received,away,41.27,27.36,4.88,2017101600,2487,2017101600_2487,Def_16,44,0
2543594,kick_received,away,35.2,33.6,2,2017101600,2487,2017101600_2487,Def_17,44,0
2553467,kick_received,away,6.93,37.57,3.61,2017101600,2487,2017101600_2487,Def_18,44,0
2556394,kick_received,away,37.02,24.19,7.07,2017101600,2487,2017101600_2487,Def_19,44,0
2557434,kick_received,away,20.5,31.87,4.34,2017101600,2487,2017101600_2487,Def_20,44,0
2558886,kick_received,away,34.53,39.92,6,2017101600,2487,2017101600_2487,Def_21,44,0
